Topic,Words,Frequency,Timestamp
30,"trials, treatment effects, estimators, causal inference, covariates",294,2020-06-16 14:24:00.000
31,"eeg, brain, ecg, sleep, fmri",283,2020-06-16 14:24:00.000
32,"market, stock, financial, volatility, portfolio",340,2020-06-16 14:24:00.000
33,"metasurfaces, metasurface, plasmonic, microscopy, photonic",373,2020-06-16 14:24:00.000
34,"traffic, vehicles, vehicle, autonomous driving, autonomous vehicles",237,2020-06-16 14:24:00.000
35,"machine translation, languages, word, multilingual, neural machine",335,2020-06-16 14:24:00.000
36,"controller, controllers, predictive control, mpc, model predictive",283,2020-06-16 14:24:00.000
37,"adversarial, attacks, adversarial examples, adversarial attacks, defense",265,2020-06-16 14:24:00.000
38,"student, education, introductory, teaching, courses",167,2020-06-16 14:24:00.000
39,"planning, robots, robot, motion planning, controller",238,2020-06-16 14:24:00.000
40,"recommendation, recommender, recommender systems, items, item",246,2020-06-16 14:24:00.000
41,"nonconvex, optimization problems, proximal, nonsmooth, gradient descent",280,2020-06-16 14:24:00.000
42,"atoms, photon, optomechanical, photons, cavity",300,2020-06-16 14:24:00.000
43,"blockchain, contracts, smart contracts, transactions, transaction",287,2020-06-16 14:24:00.000
44,"covid19, epidemic, pandemic, infection, disease",579,2020-06-16 14:24:00.000
45,"superresolution, video, denoising, image superresolution, image restoration",260,2020-06-16 14:24:00.000
46,"spiking, neurons, neuromorphic, snns, spiking neural",197,2020-06-16 14:24:00.000
47,"graphene, bilayer graphene, bilayer, twisted, twisted bilayer",330,2020-06-16 14:24:00.000
48,"action recognition, video, pose estimation, human pose, videos",235,2020-06-16 14:24:00.000
49,"graph neural, gnns, gnn, node classification, link prediction",232,2020-06-16 14:24:00.000
50,"manybody, quantum systems, mbl, open quantum, thermalization",263,2020-06-16 14:24:00.000
51,"traffic, travel, mobility, urban, vehicle",233,2020-06-16 14:24:00.000
52,"navierstokes, compressible, navierstokes equations, euler, incompressible",226,2020-06-16 14:24:00.000
53,"segmentation, object detection, semantic segmentation, semantic, instance segmentation",214,2020-06-16 14:24:00.000
55,"boseeinstein, superfluid, condensate, bose, condensates",253,2020-06-16 14:24:00.000
56,"protein, drug, molecular, molecules, proteins",133,2020-06-16 14:24:00.000
57,"question answering, qa, query, documents, commonsense",126,2020-06-16 14:24:00.000
58,"domain adaptation, fewshot, unlabeled, semisupervised, active learning",249,2020-06-16 14:24:00.000
59,"transformers, selfattention, pruning, transformer models, language modeling",37,2020-06-16 14:24:00.000
60,"face recognition, facial, deepfake, fake, fingerprint",187,2020-06-16 14:24:00.000
61,"crystal, molecular, dft, interatomic, molecules",125,2020-06-16 14:24:00.000
62,"plasma, plasmas, electron, tokamak, discharge",175,2020-06-16 14:24:00.000
63,"laser, fiber, comb, photonic, soliton",176,2020-06-16 14:24:00.000
64,"key distribution, qkd, quantum key, secure, secret",143,2020-06-16 14:24:00.000
65,"laser, beam, electron, plasma, accelerator",158,2020-06-16 14:24:00.000
66,"climate, weather, precipitation, forecasts, forecasting",96,2020-06-16 14:24:00.000
67,"clinical, biomedical, entity, healthcare, notes",72,2020-06-16 14:24:00.000
68,"oscillators, species, kuramoto, kuramoto model, fitness",166,2020-06-16 14:24:00.000
69,"vr, gaze, virtual reality, eye, ar",100,2020-06-16 14:24:00.000
70,"mds, reedsolomon, minimum distance, reedsolomon codes, dna",137,2020-06-16 14:24:00.000
71,"orbits, hamiltonian, integrable, periodic orbits, limit cycles",141,2020-06-16 14:24:00.000
72,"nonhermitian, quantum hall, insulators, hall, fractional quantum",142,2020-06-16 14:24:00.000
73,"community detection, centrality, stochastic block, complex networks, community structure",173,2020-06-16 14:24:00.000
74,"dislocation, alloys, grain, alloy, dislocations",183,2020-06-16 14:24:00.000
-1,"spin, video, electron, social, semantic",20878,2020-10-27 18:00:00.000
0,"stars, galaxies, dark, stellar, galaxy",11634,2020-10-27 18:00:00.000
1,"algebras, polynomials, varieties, cohomology, projective",6521,2020-10-27 18:00:00.000
2,"wireless, mimo, beamforming, 5g, intelligent",1574,2020-10-27 18:00:00.000
3,"particles, liquid, shear, turbulent, turbulence",1546,2020-10-27 18:00:00.000
4,"segmentation, ct, mri, clinical, tumor",976,2020-10-27 18:00:00.000
5,"speech, audio, speaker, asr, music",966,2020-10-27 18:00:00.000
6,"reinforcement learning, policy, robot, rl, robotic",792,2020-10-27 18:00:00.000
7,"vertex, coloring, subgraph, bipartite, planar",995,2020-10-27 18:00:00.000
8,"point cloud, scene, lidar, point clouds, camera",542,2020-10-27 18:00:00.000
9,"brownian, percolation, brownian motion, random walk, levy",858,2020-10-27 18:00:00.000
10,"games, regret, bandit, bandits, nash",704,2020-10-27 18:00:00.000
11,"qubits, gates, quantum circuits, quantum computers, quantum computing",374,2020-10-27 18:00:00.000
12,"privacy, federated, federated learning, fl, private",453,2020-10-27 18:00:00.000
13,"spin, hall, magnetization, antiferromagnetic, ferromagnetic",630,2020-10-27 18:00:00.000
14,"captioning, zsl, image captioning, gans, vqa",219,2020-10-27 18:00:00.000
15,"estimators, posterior, nonparametric, lowrank, copula",601,2020-10-27 18:00:00.000
16,"superconducting, superconductivity, superconductors, superconductor, majorana",539,2020-10-27 18:00:00.000
17,"pruning, nas, accelerators, architecture search, neural architecture",459,2020-10-27 18:00:00.000
18,"pdes, seismic, physicsinformed, partial differential, pde",340,2020-10-27 18:00:00.000
19,"electricity, renewable, charging, voltage, power flow",509,2020-10-27 18:00:00.000
20,"finite element, galerkin, mesh, discretization, discontinuous galerkin",502,2020-10-27 18:00:00.000
21,"semantics, automata, logics, calculus, languages",381,2020-10-27 18:00:00.000
22,"news, social, social media, dialogue, twitter",446,2020-10-27 18:00:00.000
23,"anomaly detection, hyperspectral, imagery, sar, remote sensing",344,2020-10-27 18:00:00.000
24,"developers, software engineering, software development, repositories, bugs",312,2020-10-27 18:00:00.000
25,"monolayer, exciton, excitons, thermal, perovskite",555,2020-10-27 18:00:00.000
26,"malware, attacks, iot, cyber, traffic",255,2020-10-27 18:00:00.000
27,"solar, coronal, magnetic field, solar wind, reconnection",380,2020-10-27 18:00:00.000
28,"bell, quantum mechanics, multipartite, nonlocality, quantum states",314,2020-10-27 18:00:00.000
29,"relu, gradient descent, sgd, activation functions, adam",388,2020-10-27 18:00:00.000
30,"causal inference, trials, observational, treatment effects, covariates",274,2020-10-27 18:00:00.000
31,"eeg, brain, ecg, sleep, fmri",247,2020-10-27 18:00:00.000
32,"market, financial, stock, portfolio, volatility",335,2020-10-27 18:00:00.000
33,"metasurfaces, metasurface, plasmonic, photonic, microscopy",366,2020-10-27 18:00:00.000
34,"traffic, vehicles, vehicle, autonomous driving, trajectory prediction",242,2020-10-27 18:00:00.000
35,"machine translation, languages, word, multilingual, sentence",288,2020-10-27 18:00:00.000
36,"controller, predictive control, mpc, controllers, model predictive",294,2020-10-27 18:00:00.000
37,"adversarial, attacks, adversarial examples, adversarial attacks, defense",277,2020-10-27 18:00:00.000
38,"student, education, teaching, ethics, courses",193,2020-10-27 18:00:00.000
39,"planning, robots, robot, controller, motion planning",219,2020-10-27 18:00:00.000
40,"recommendation, recommender, items, recommender systems, item",209,2020-10-27 18:00:00.000
41,"nonconvex, optimization problems, proximal, nonsmooth, convex optimization",254,2020-10-27 18:00:00.000
42,"atoms, photon, photons, cavity, atom",298,2020-10-27 18:00:00.000
43,"blockchain, transactions, contracts, ethereum, blockchains",294,2020-10-27 18:00:00.000
44,"covid19, epidemic, pandemic, infection, disease",562,2020-10-27 18:00:00.000
45,"video, superresolution, denoising, deblurring, blur",230,2020-10-27 18:00:00.000
46,"spiking, neuromorphic, neurons, spiking neural, snns",213,2020-10-27 18:00:00.000
47,"graphene, bilayer graphene, bilayer, twisted, twisted bilayer",301,2020-10-27 18:00:00.000
48,"action recognition, video, pose estimation, human pose, 3d human",188,2020-10-27 18:00:00.000
49,"gnns, graph neural, node classification, gnn, graph convolutional",209,2020-10-27 18:00:00.000
50,"manybody, quantum systems, thermalization, open quantum, mbl",226,2020-10-27 18:00:00.000
51,"traffic, travel, mobility, urban, routing",199,2020-10-27 18:00:00.000
52,"navierstokes, compressible, navierstokes equations, incompressible, euler",230,2020-10-27 18:00:00.000
53,"segmentation, object detection, semantic segmentation, semantic, coco",163,2020-10-27 18:00:00.000
54,"reasoning tasks, lm, chess, lms, ages",2,2020-10-27 18:00:00.000
55,"boseeinstein, superfluid, bose, condensate, condensates",250,2020-10-27 18:00:00.000
56,"protein, drug, molecular, molecules, drug discovery",145,2020-10-27 18:00:00.000
57,"qa, question answering, query, multihop, sql",133,2020-10-27 18:00:00.000
58,"domain adaptation, unlabeled, fewshot, active learning, semisupervised",210,2020-10-27 18:00:00.000
59,"transformers, selfattention, pruning, bert, language models",38,2020-10-27 18:00:00.000
60,"face recognition, facial, deepfake, forgery, biometric",187,2020-10-27 18:00:00.000
61,"molecular, crystal, molecules, interatomic, crystal structure",138,2020-10-27 18:00:00.000
62,"plasma, plasmas, electron, ion, tokamak",190,2020-10-27 18:00:00.000
63,"laser, comb, fiber, photonic, beams",192,2020-10-27 18:00:00.000
64,"qkd, key distribution, quantum key, secure, secret",143,2020-10-27 18:00:00.000
65,"beam, laser, plasma, electron, bunch",183,2020-10-27 18:00:00.000
66,"climate, weather, precipitation, forecasting, forecasts",145,2020-10-27 18:00:00.000
67,"clinical, biomedical, notes, entity, bert",74,2020-10-27 18:00:00.000
68,"oscillators, species, kuramoto, fitness, ecological",170,2020-10-27 18:00:00.000
69,"vr, gaze, eye, virtual reality, immersive",115,2020-10-27 18:00:00.000
70,"selfdual, mds, dna, hamming, lcd",174,2020-10-27 18:00:00.000
71,"hamiltonian, integrable, orbits, limit cycles, chaotic",165,2020-10-27 18:00:00.000
72,"nonhermitian, hall, quantum hall, chern, skin",157,2020-10-27 18:00:00.000
73,"community detection, centrality, complex networks, stochastic block, social",218,2020-10-27 18:00:00.000
74,"dislocation, grain, alloys, alloy, sintering",193,2020-10-27 18:00:00.000
-1,"spin, video, semantic, electron, social",22417,2021-03-09 21:36:00.000
0,"stars, galaxies, dark, stellar, galaxy",11290,2021-03-09 21:36:00.000
1,"algebras, polynomials, varieties, cohomology, elliptic",6508,2021-03-09 21:36:00.000
2,"wireless, mimo, beamforming, 5g, iot",1584,2021-03-09 21:36:00.000
3,"particles, shear, liquid, turbulent, turbulence",1526,2021-03-09 21:36:00.000
4,"segmentation, ct, mri, clinical, medical image",1069,2021-03-09 21:36:00.000
5,"speech, audio, speaker, asr, music",1108,2021-03-09 21:36:00.000
6,"reinforcement learning, policy, robot, rl, robots",900,2021-03-09 21:36:00.000
7,"vertex, coloring, bipartite, chromatic, subgraph",1056,2021-03-09 21:36:00.000
8,"point cloud, scene, lidar, point clouds, camera",792,2021-03-09 21:36:00.000
9,"brownian, percolation, brownian motion, random walk, stochastic differential",911,2021-03-09 21:36:00.000
10,"games, regret, bandit, bandits, social",695,2021-03-09 21:36:00.000
11,"qubits, quantum computing, quantum algorithms, gates, variational quantum",497,2021-03-09 21:36:00.000
12,"privacy, federated, federated learning, fl, private",494,2021-03-09 21:36:00.000
13,"spin, hall, magnetization, antiferromagnetic, ferromagnetic",723,2021-03-09 21:36:00.000
14,"vqa, captioning, captions, gans, visual question",287,2021-03-09 21:36:00.000
15,"estimators, posterior, nonparametric, lowrank, lasso",599,2021-03-09 21:36:00.000
16,"superconductivity, superconducting, superconductors, superconductor, majorana",574,2021-03-09 21:36:00.000
17,"pruning, nas, architecture search, accelerators, neural architecture",554,2021-03-09 21:36:00.000
18,"pdes, seismic, physicsinformed, partial differential, pde",422,2021-03-09 21:36:00.000
19,"electricity, renewable, voltage, charging, power systems",553,2021-03-09 21:36:00.000
20,"finite element, galerkin, mesh, discretization, meshes",591,2021-03-09 21:36:00.000
21,"semantics, logics, automata, languages, calculus",512,2021-03-09 21:36:00.000
22,"social, news, dialogue, social media, twitter",507,2021-03-09 21:36:00.000
23,"anomaly detection, hyperspectral, sar, imagery, remote sensing",365,2021-03-09 21:36:00.000
24,"developers, software development, bug, software engineering, source code",441,2021-03-09 21:36:00.000
25,"perovskite, monolayer, thermal, metal, excitons",470,2021-03-09 21:36:00.000
26,"malware, attacks, iot, intrusion, cyber",296,2021-03-09 21:36:00.000
27,"solar, coronal, solar wind, reconnection, magnetic field",429,2021-03-09 21:36:00.000
28,"bell, quantum mechanics, nonlocality, multipartite, inequalities",376,2021-03-09 21:36:00.000
29,"relu, gradient descent, sgd, learning rate, activation functions",375,2021-03-09 21:36:00.000
30,"trials, estimators, treatment effects, covariates, causal inference",273,2021-03-09 21:36:00.000
31,"eeg, brain, ecg, sleep, bci",229,2021-03-09 21:36:00.000
32,"market, stock, financial, volatility, portfolio",335,2021-03-09 21:36:00.000
33,"metasurfaces, plasmonic, metasurface, photonic, microscopy",351,2021-03-09 21:36:00.000
34,"traffic, vehicles, vehicle, autonomous driving, trajectory prediction",299,2021-03-09 21:36:00.000
35,"languages, machine translation, multilingual, word, sentence",400,2021-03-09 21:36:00.000
36,"controller, predictive control, mpc, controllers, model predictive",318,2021-03-09 21:36:00.000
37,"adversarial, attacks, adversarial examples, adversarial attacks, adversarial training",290,2021-03-09 21:36:00.000
38,"education, student, teaching, courses, educational",208,2021-03-09 21:36:00.000
39,"planning, robots, robot, multirobot, controller",273,2021-03-09 21:36:00.000
40,"recommendation, recommender, items, item, recommender systems",264,2021-03-09 21:36:00.000
41,"nonconvex, optimization problems, proximal, nonsmooth, convex optimization",325,2021-03-09 21:36:00.000
42,"photon, atoms, photons, cavity, atom",294,2021-03-09 21:36:00.000
43,"blockchain, contracts, smart contracts, transactions, blockchains",279,2021-03-09 21:36:00.000
44,"covid19, epidemic, pandemic, infection, disease",488,2021-03-09 21:36:00.000
45,"superresolution, video, denoising, image superresolution, image compression",300,2021-03-09 21:36:00.000
46,"spiking, neurons, neuromorphic, spiking neural, snns",237,2021-03-09 21:36:00.000
47,"graphene, bilayer graphene, bilayer, twisted, twisted bilayer",308,2021-03-09 21:36:00.000
48,"action recognition, video, pose estimation, human pose, 3d human",281,2021-03-09 21:36:00.000
49,"gnns, graph neural, gnn, node classification, networks gnns",234,2021-03-09 21:36:00.000
50,"manybody, quantum systems, chaos, mbl, thermalization",225,2021-03-09 21:36:00.000
51,"traffic, travel, mobility, urban, vehicle",242,2021-03-09 21:36:00.000
52,"navierstokes, navierstokes equations, compressible, euler, incompressible",242,2021-03-09 21:36:00.000
53,"segmentation, object detection, semantic segmentation, semantic, instance segmentation",294,2021-03-09 21:36:00.000
54,"analytical reasoning, reasoning text, reward, elaborations, t5",4,2021-03-09 21:36:00.000
55,"boseeinstein, superfluid, bose, condensate, condensates",250,2021-03-09 21:36:00.000
56,"protein, drug, molecular, molecules, proteins",121,2021-03-09 21:36:00.000
57,"question answering, qa, query, ranking, rag",168,2021-03-09 21:36:00.000
58,"domain adaptation, fewshot, contrastive, unlabeled, active learning",336,2021-03-09 21:36:00.000
59,"transformers, selfattention, bert, pruning, language models",63,2021-03-09 21:36:00.000
60,"face recognition, facial, forgery, deepfake, fingerprint",215,2021-03-09 21:36:00.000
61,"molecular, crystal, dft, molecules, materials science",128,2021-03-09 21:36:00.000
62,"plasma, plasmas, electron, tokamak, discharge",188,2021-03-09 21:36:00.000
63,"laser, comb, fiber, lasers, photonic",161,2021-03-09 21:36:00.000
64,"key distribution, quantum key, qkd, secure, secret",158,2021-03-09 21:36:00.000
65,"beam, laser, plasma, electron, accelerator",201,2021-03-09 21:36:00.000
66,"climate, weather, assimilation, precipitation, forecasts",119,2021-03-09 21:36:00.000
67,"clinical, biomedical, entity, notes, icd",95,2021-03-09 21:36:00.000
68,"oscillators, species, kuramoto, kuramoto model, fitness",163,2021-03-09 21:36:00.000
69,"vr, gaze, virtual reality, eye, immersive",115,2021-03-09 21:36:00.000
70,"mds, reedsolomon, bent, dna, hamming",156,2021-03-09 21:36:00.000
71,"hamiltonian, integrable, orbits, hamiltonian systems, lax",159,2021-03-09 21:36:00.000
72,"nonhermitian, quantum hall, hall, insulators, chern",173,2021-03-09 21:36:00.000
73,"community detection, centrality, stochastic block, block model, hypergraphs",167,2021-03-09 21:36:00.000
74,"dislocation, alloys, grain, alloy, dislocations",178,2021-03-09 21:36:00.000
-1,"spin, video, semantic, social, electron",21375,2021-07-21 01:12:00.000
0,"stars, galaxies, dark, stellar, galaxy",11270,2021-07-21 01:12:00.000
1,"algebras, cohomology, polynomials, varieties, elliptic",6424,2021-07-21 01:12:00.000
2,"wireless, mimo, beamforming, 5g, ris",1586,2021-07-21 01:12:00.000
3,"particles, shear, liquid, turbulent, turbulence",1375,2021-07-21 01:12:00.000
4,"segmentation, ct, mri, clinical, medical image",996,2021-07-21 01:12:00.000
5,"speech, audio, speaker, music, asr",1050,2021-07-21 01:12:00.000
6,"reinforcement learning, policy, robot, rl, robots",802,2021-07-21 01:12:00.000
7,"vertex, coloring, subgraph, bipartite, planar",1030,2021-07-21 01:12:00.000
8,"point cloud, scene, point clouds, lidar, clouds",755,2021-07-21 01:12:00.000
9,"brownian, brownian motion, percolation, stochastic differential, random walk",850,2021-07-21 01:12:00.000
10,"games, regret, bandit, bandits, nash",653,2021-07-21 01:12:00.000
11,"qubits, gates, quantum algorithms, quantum computers, variational quantum",536,2021-07-21 01:12:00.000
12,"privacy, federated, federated learning, fl, private",521,2021-07-21 01:12:00.000
13,"spin, hall, magnetization, antiferromagnetic, ferromagnetic",638,2021-07-21 01:12:00.000
14,"captioning, image captioning, vqa, semantic, captions",278,2021-07-21 01:12:00.000
15,"estimators, posterior, nonparametric, lowrank, mcmc",589,2021-07-21 01:12:00.000
16,"superconductivity, superconducting, superconductors, superconductor, majorana",592,2021-07-21 01:12:00.000
17,"pruning, nas, architecture search, neural architecture, accelerators",506,2021-07-21 01:12:00.000
18,"seismic, pdes, physicsinformed, partial differential, pde",437,2021-07-21 01:12:00.000
19,"electricity, renewable, charging, voltage, power flow",504,2021-07-21 01:12:00.000
20,"finite element, mesh, galerkin, discretization, meshes",502,2021-07-21 01:12:00.000
21,"semantics, automata, logics, languages, calculus",505,2021-07-21 01:12:00.000
22,"social, news, dialogue, social media, twitter",541,2021-07-21 01:12:00.000
23,"anomaly detection, hyperspectral, imagery, sar, remote sensing",410,2021-07-21 01:12:00.000
24,"developers, bug, software engineering, bugs, software development",330,2021-07-21 01:12:00.000
25,"monolayer, exciton, phonon, perovskite, excitons",511,2021-07-21 01:12:00.000
26,"malware, attacks, iot, traffic, cybersecurity",282,2021-07-21 01:12:00.000
27,"solar, coronal, solar wind, magnetic field, reconnection",377,2021-07-21 01:12:00.000
28,"bell, quantum mechanics, multipartite, nonlocality, quantum information",370,2021-07-21 01:12:00.000
29,"relu, gradient descent, sgd, adam, activation functions",311,2021-07-21 01:12:00.000
30,"trials, treatment effects, estimators, covariates, causal inference",288,2021-07-21 01:12:00.000
31,"eeg, brain, ecg, sleep, fmri",267,2021-07-21 01:12:00.000
32,"market, stock, financial, trading, volatility",336,2021-07-21 01:12:00.000
33,"metasurfaces, metasurface, photonic, plasmonic, microscopy",322,2021-07-21 01:12:00.000
34,"traffic, vehicles, autonomous driving, vehicle, autonomous vehicles",289,2021-07-21 01:12:00.000
35,"languages, machine translation, multilingual, word, crosslingual",390,2021-07-21 01:12:00.000
36,"controller, predictive control, nonlinear systems, controllers, model predictive",279,2021-07-21 01:12:00.000
37,"adversarial, attacks, adversarial examples, adversarial attacks, adversarial training",292,2021-07-21 01:12:00.000
38,"student, education, teaching, ethical, educational",194,2021-07-21 01:12:00.000
39,"planning, robots, robot, motion planning, controller",272,2021-07-21 01:12:00.000
40,"recommendation, recommender, recommender systems, items, item",258,2021-07-21 01:12:00.000
41,"nonconvex, optimization problems, proximal, nonsmooth, convergence rate",254,2021-07-21 01:12:00.000
42,"photon, atoms, photons, cooling, cavity",245,2021-07-21 01:12:00.000
43,"blockchain, contracts, smart contracts, transactions, ethereum",268,2021-07-21 01:12:00.000
44,"covid19, epidemic, infection, pandemic, disease",396,2021-07-21 01:12:00.000
45,"video, superresolution, denoising, hdr, deblurring",265,2021-07-21 01:12:00.000
46,"spiking, neurons, neuromorphic, spiking neural, snns",219,2021-07-21 01:12:00.000
47,"graphene, bilayer graphene, bilayer, twisted, twisted bilayer",290,2021-07-21 01:12:00.000
48,"action recognition, video, pose estimation, human pose, 3d human",315,2021-07-21 01:12:00.000
49,"gnns, graph neural, gnn, node classification, link prediction",234,2021-07-21 01:12:00.000
50,"manybody, quantum systems, thermalization, chaos, mbl",250,2021-07-21 01:12:00.000
51,"traffic, mobility, travel, urban, routing",253,2021-07-21 01:12:00.000
52,"navierstokes, compressible, navierstokes equations, euler, incompressible",239,2021-07-21 01:12:00.000
53,"segmentation, semantic segmentation, object detection, semantic, coco",299,2021-07-21 01:12:00.000
54,"beliefs, math, word problems, word, conditional inference",9,2021-07-21 01:12:00.000
55,"boseeinstein, superfluid, bose, condensate, vortex",203,2021-07-21 01:12:00.000
56,"protein, drug, molecular, molecules, drug discovery",131,2021-07-21 01:12:00.000
57,"qa, question answering, query, documents, rag",158,2021-07-21 01:12:00.000
58,"domain adaptation, unlabeled, fewshot, ssl, active learning",326,2021-07-21 01:12:00.000
59,"transformers, language models, pruning, pretrained, selfattention",72,2021-07-21 01:12:00.000
60,"face recognition, facial, deepfake, forgery, biometric",200,2021-07-21 01:12:00.000
61,"molecular, interatomic, crystal, molecules, materials science",134,2021-07-21 01:12:00.000
62,"plasma, plasmas, electron, discharge, ion",150,2021-07-21 01:12:00.000
63,"laser, photonic, comb, soliton, fiber",175,2021-07-21 01:12:00.000
64,"key distribution, quantum key, qkd, secure, secret",146,2021-07-21 01:12:00.000
65,"laser, beam, plasma, electron, accelerator",161,2021-07-21 01:12:00.000
66,"climate, weather, precipitation, assimilation, forecasting",132,2021-07-21 01:12:00.000
67,"clinical, biomedical, health, notes, nlp",93,2021-07-21 01:12:00.000
68,"oscillators, species, kuramoto, kuramoto model, allee",182,2021-07-21 01:12:00.000
69,"vr, gaze, virtual reality, ar, augmented reality",89,2021-07-21 01:12:00.000
70,"mds, dna, reedsolomon, selfdual, hamming",138,2021-07-21 01:12:00.000
71,"hamiltonian, orbits, integrable, hamiltonian systems, homoclinic",159,2021-07-21 01:12:00.000
72,"nonhermitian, quantum hall, chern, hall, insulators",151,2021-07-21 01:12:00.000
73,"community detection, centrality, stochastic block, block model, pagerank",146,2021-07-21 01:12:00.000
74,"grain, alloys, dislocation, alloy, dislocations",155,2021-07-21 01:12:00.000
-1,"spin, video, semantic, electron, social",20885,2021-12-01 04:48:00.000
0,"stars, galaxies, dark, stellar, galaxy",11950,2021-12-01 04:48:00.000
1,"algebras, varieties, polynomials, cohomology, projective",6243,2021-12-01 04:48:00.000
2,"wireless, mimo, beamforming, 5g, ris",1611,2021-12-01 04:48:00.000
3,"particles, shear, liquid, turbulence, turbulent",1300,2021-12-01 04:48:00.000
4,"segmentation, mri, ct, clinical, medical image",1016,2021-12-01 04:48:00.000
5,"speech, audio, speaker, asr, music",1105,2021-12-01 04:48:00.000
6,"policy, reinforcement learning, robot, rl, robots",940,2021-12-01 04:48:00.000
7,"vertex, coloring, bipartite, planar, chromatic",993,2021-12-01 04:48:00.000
8,"point cloud, scene, lidar, point clouds, camera",781,2021-12-01 04:48:00.000
9,"brownian, percolation, brownian motion, random walk, levy",828,2021-12-01 04:48:00.000
10,"games, regret, bandits, bandit, nash",661,2021-12-01 04:48:00.000
11,"qubits, quantum computing, gates, quantum computers, quantum algorithms",544,2021-12-01 04:48:00.000
12,"privacy, federated, federated learning, fl, private",583,2021-12-01 04:48:00.000
13,"spin, hall, magnetization, antiferromagnetic, ferromagnetic",641,2021-12-01 04:48:00.000
14,"vqa, captioning, semantic, visionlanguage, zeroshot",259,2021-12-01 04:48:00.000
15,"posterior, estimators, nonparametric, mcmc, lasso",528,2021-12-01 04:48:00.000
16,"superconductivity, superconducting, superconductors, superconductor, majorana",560,2021-12-01 04:48:00.000
17,"pruning, accelerators, nas, dnn, cache",479,2021-12-01 04:48:00.000
18,"seismic, physicsinformed, pinns, pdes, partial differential",411,2021-12-01 04:48:00.000
19,"electricity, renewable, charging, voltage, power systems",522,2021-12-01 04:48:00.000
20,"finite element, mesh, galerkin, discretization, meshes",543,2021-12-01 04:48:00.000
21,"semantics, logics, automata, calculus, languages",376,2021-12-01 04:48:00.000
22,"news, social, social media, dialogue, hate",399,2021-12-01 04:48:00.000
23,"anomaly detection, hyperspectral, imagery, remote sensing, sar",361,2021-12-01 04:48:00.000
24,"developers, bug, source code, software engineering, software development",396,2021-12-01 04:48:00.000
25,"perovskite, monolayer, excitons, exciton, metal",465,2021-12-01 04:48:00.000
26,"malware, attacks, iot, adversarial, cyber",249,2021-12-01 04:48:00.000
27,"solar, coronal, solar wind, reconnection, plasma",451,2021-12-01 04:48:00.000
28,"bell, quantum mechanics, nonlocality, multipartite, inequalities",379,2021-12-01 04:48:00.000
29,"relu, gradient descent, activation functions, sgd, adam",349,2021-12-01 04:48:00.000
30,"trials, causal inference, treatment effects, covariates, estimators",316,2021-12-01 04:48:00.000
31,"eeg, brain, ecg, sleep, eeg signals",284,2021-12-01 04:48:00.000
32,"market, portfolio, stock, financial, volatility",336,2021-12-01 04:48:00.000
33,"metasurfaces, plasmonic, metasurface, photonic, microscopy",371,2021-12-01 04:48:00.000
34,"traffic, vehicles, vehicle, autonomous driving, trajectory prediction",250,2021-12-01 04:48:00.000
35,"languages, machine translation, multilingual, word, sentence",310,2021-12-01 04:48:00.000
36,"controller, predictive control, controllers, mpc, model predictive",357,2021-12-01 04:48:00.000
37,"adversarial, attacks, adversarial examples, adversarial attacks, adversarial training",289,2021-12-01 04:48:00.000
38,"education, student, teaching, ethics, educational",182,2021-12-01 04:48:00.000
39,"planning, robots, motion planning, robot, controller",252,2021-12-01 04:48:00.000
40,"recommendation, recommender, items, recommender systems, item",270,2021-12-01 04:48:00.000
41,"nonconvex, optimization problems, proximal, nonsmooth, convergence rate",284,2021-12-01 04:48:00.000
42,"atoms, photon, photons, cooling, cavity",291,2021-12-01 04:48:00.000
43,"blockchain, contracts, smart contracts, transactions, ethereum",257,2021-12-01 04:48:00.000
44,"covid19, epidemic, infection, pandemic, disease",371,2021-12-01 04:48:00.000
45,"video, superresolution, denoising, deblurring, image superresolution",254,2021-12-01 04:48:00.000
46,"spiking, neurons, neuromorphic, spiking neural, snns",208,2021-12-01 04:48:00.000
47,"graphene, bilayer graphene, bilayer, twisted, twisted bilayer",243,2021-12-01 04:48:00.000
48,"video, action recognition, pose estimation, human pose, 3d human",240,2021-12-01 04:48:00.000
49,"gnns, graph neural, gnn, node classification, networks gnns",287,2021-12-01 04:48:00.000
50,"manybody, quantum systems, scrambling, thermalization, open quantum",241,2021-12-01 04:48:00.000
51,"traffic, urban, mobility, travel, vehicle",222,2021-12-01 04:48:00.000
52,"navierstokes, euler, compressible, navierstokes equations, incompressible",236,2021-12-01 04:48:00.000
53,"segmentation, semantic segmentation, object detection, semantic, transformers",312,2021-12-01 04:48:00.000
54,"reward, preference modeling, reward models, fps, language models",4,2021-12-01 04:48:00.000
55,"boseeinstein, superfluid, bose, condensates, condensate",223,2021-12-01 04:48:00.000
56,"protein, drug, molecular, molecules, drug discovery",153,2021-12-01 04:48:00.000
57,"qa, question answering, query, documents, queries",118,2021-12-01 04:48:00.000
58,"domain adaptation, unlabeled, ssl, contrastive, active learning",266,2021-12-01 04:48:00.000
59,"transformers, pruning, language models, pretrained, selfattention",63,2021-12-01 04:48:00.000
60,"face recognition, facial, deepfake, forgery, biometric",228,2021-12-01 04:48:00.000
61,"crystal, molecular, dft, interatomic, molecules",135,2021-12-01 04:48:00.000
62,"plasma, plasmas, ion, electron, tokamak",170,2021-12-01 04:48:00.000
